epoch     	mean_ops    	median_ops  	unique_ids  	modal_id  	representative_tape (modal_count)
810       	18.2207     	14.0        	92272       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26414)
820       	18.0868     	14.0        	89935       	3957573   	|                                                                | (26050)
830       	17.9677     	14.0        	87587       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (25984)
840       	17.8626     	14.0        	85408       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26207)
850       	17.7651     	14.0        	83406       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26470)
860       	17.7374     	14.0        	81463       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (27651)
870       	17.6255     	13.0        	79524       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,| (27788)
880       	17.4842     	13.0        	77594       	6873437   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<,<<<<<| (27439)
890       	17.3696     	13.0        	75824       	6873437   	|<<<<<<<< <<<<<<<<<<<<<><<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (27645)
900       	17.2921     	13.0        	74115       	6873437   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (28800)
910       	17.2588     	13.0        	72464       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, | (28874)
920       	17.1824     	13.0        	70851       	6873437   	|                                                                | (28261)
930       	17.0171     	13.0        	69232       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (27116)
940       	16.9238     	13.0        	67679       	6873437   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (26663)
950       	16.8678     	13.0        	66264       	6873437   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26145)
960       	16.8241     	13.0        	64894       	6873437   	|                                                                | (25546)
970       	16.6947     	13.0        	63490       	3957573   	|                                                                | (24930)
