epoch     	mean_ops    	median_ops  	unique_ids  	modal_id  	representative_tape (modal_count)
119       	53.6035     	64.0        	1966        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (42240)
120       	53.5624     	64.0        	1950        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (41728)
121       	53.7499     	64.0        	1941        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (40448)
122       	53.7568     	64.0        	1923        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (41856)
123       	53.8134     	64.0        	1916        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (45184)
124       	53.8652     	64.0        	1900        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (46080)
125       	53.9853     	64.0        	1883        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (45952)
126       	53.9374     	64.0        	1875        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (44672)
127       	53.9121     	64.0        	1851        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (41472)
128       	53.9765     	64.0        	1845        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (41984)
129       	53.8915     	64.0        	1834        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (40960)
130       	53.9257     	64.0        	1819        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (44800)
131       	53.8945     	64.0        	1814        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (46592)
132       	53.8886     	64.0        	1805        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (46848)
133       	53.9394     	64.0        	1785        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (45312)
134       	53.9121     	64.0        	1772        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (42752)
135       	53.8974     	64.0        	1754        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (38912)
136       	53.8495     	64.0        	1748        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (39808)
137       	53.9199     	64.0        	1742        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (41984)
138       	53.9824     	64.0        	1730        	7180434   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (40064)
139       	54.0185     	64.0        	1723        	2241475   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (40064)
140       	54.0292     	64.0        	1707        	2241475   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (38656)
141       	54.0478     	64.0        	1706        	2241475   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (38784)
142       	54.0000     	64.0        	1684        	2241475   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (38784)
143       	54.0244     	64.0        	1679        	3925237   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (38016)
144       	53.9052     	64.0        	1674        	3925237   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (37888)
